district,year,tourist_footfall_to_population_ratio
"Rajanna Sircilla ",2019,30.49233475292417
"Bhadradri Kothagudem ",2019,11.987472656348636
"Medak ",2019,7.104992259860208
Mulugu,2019,7.062725029486622
"Yadadri Bhongir",2019,6.071250446278846
