peak_month,peak_month_visitor
June,4224445.7500
December,2334659.2500
October,1638099.2500
January,1613025.2500
April,1531709.7500
May,1512303.5000
August,1437741.7500
November,1406539.0000
July,1388131.7500
September,1328070.7500
March,1306906.5000
February,1253607.5000
