low_month,low_month_visitor
February,1253607.5000
March,1306906.5000
September,1328070.7500
July,1388131.7500
November,1406539.0000
August,1437741.7500
May,1512303.5000
April,1531709.7500
January,1613025.2500
October,1638099.2500
December,2334659.2500
June,4224445.7500
