district,year,total_visitor,population,population_to_tourist_footfall_ratio
Hyderabad,2019,319300,3943323,0.081
"Warangal (Urban)",2019,2450,753438,0.0033
Mulugu,2019,575,257744,0.0022
"Jogulamba Gadwal ",2019,295,609990,0.0005
Mahbubnagar,2019,440,919903,0.0005
